,Agency,Base Pay,Other Pay,Overtime Pay,Total Pay,Benefits,Total Pay & Benefits,City,Latitude,Longitude
0,Ontario-Montclair,355285,197112,0,552397,167573,719970,Montclair,34.077511,-117.689778
1,Wheatland Union High,233539,10099,0,243639,342424,586063,Wheatland,39.009894,-121.423014
2,Corona-Norco Unified,398979,57050,0,456029,80208,536238,Corona,33.875294,-117.566439
3,Corona-Norco Unified,252334,39041,0,291375,52337,343713,Corona,33.875294,-117.566439
4,College of the Desert,399006,60457,0,459463,66557,526020,Palm Desert,33.722244,-116.374456
5,Desert Sands Unified,285000,23443,0,308443,39531,347974,Palm Desert,33.722244,-116.374456
6,Sequoia Union High,192784,259544,0,452329,66560,518889,Redwood City,37.485214,-122.236356
7,Redwood City Elementary,230592,15691,0,246283,67159,313443,Redwood City,37.485214,-122.236356
8,Stockton Unified,141625,338083,0,479708,38827,518535,Stockton,37.957703,-121.290781
9,Stockton Unified,212940,37728,0,250669,63586,314255,Stockton,37.957703,-121.290781
10,Fremont Union High,409914,7970,0,417884,91355,509239,Fremont,37.548269,-121.988572
11,Fremont Unified,194052,0,0,194052,32572,226625,Fremont,37.548269,-121.988572
12,Elk Grove Unified,354818,34061,0,388879,115168,504047,Elk Grove,38.4088,-121.371617
13,Beaumont Unified,185804,269653,0,455457,48482,503939,Beaumont,33.929461,-116.977247
14,Twin Rivers Unified,364075,5266,0,369341,108961,478302,Riverbank,37.736039,-120.935489
15,Cajon Valley Union,335055,57464,0,392519,68167,460686,El Cajon,32.794772,-116.962528
16,El Dorado Union High,261902,0,0,261902,69115,331018,El Cajon,32.794772,-116.962528
17,Orange County Department of Education,364895,0,0,364895,85559,450454,Orange,33.787794,-117.853111
18,Orange Unified,320606,12542,0,333148,69470,402618,Orange,33.787794,-117.853111
19,Ocean View-Orange,238945,6000,0,244945,48814,293759,Orange,33.787794,-117.853111
20,North Orange County ROP-Adult,182038,7215,0,189253,42309,231562,Orange,33.787794,-117.853111
21,Tustin Unified,359076,6995,0,366071,79354,445425,Tustin,33.74585,-117.826167
22,Redondo Beach Unified,360328,2401,0,362729,80518,443247,Redondo Beach,33.849183,-118.388408
23,Citrus College,351010,7020,0,358030,83943,441973,Citrus Heights,38.707125,-121.281061
24,San Diego County Office of Education,344103,15954,0,360057,79743,439800,San Diego,32.715328,-117.157256
25,San Leandro Unified,354061,25651,0,379712,59898,439611,San Leandro,37.724931,-122.156078
26,Livermore Valley Joint Unified,339550,17009,0,356559,79355,435915,Livermore,37.681875,-121.768008
27,Oakland Unified,327295,29633,0,356929,71554,428483,Oakland,37.804364,-122.271114
28,Santa Barbara City College,318930,36500,0,355430,71764,427195,Santa Barbara,34.420831,-119.698189
29,Hope Elementary-Santa Barbara,185768,0,0,185768,41569,227337,Santa Barbara,34.420831,-119.698189
30,Fresno Unified,332377,18625,0,351002,75384,426386,Fresno,36.746842,-119.772586
31,Santa Rosa Junior College,324017,17280,0,341297,80011,421308,Santa Rosa,38.440467,-122.714431
32,Santa Rosa City Schools,223986,45301,0,269288,41414,310702,Santa Rosa,38.440467,-122.714431
33,Santa Clara County Office of Education,352827,26710,0,379537,41166,420703,Santa Clara,37.354108,-121.955236
34,Santa Clara Unified,277750,20287,0,298037,71043,369080,Santa Clara,37.354108,-121.955236
35,Mountain View-Los Altos Union High,306712,40108,0,346821,71946,418768,Los Altos,33.796331,-118.118119
36,Los Altos Elementary,247263,43262,0,290525,63287,353812,Los Altos,33.796331,-118.118119
37,Irvine Unified,351386,3490,0,354876,62902,417778,Irvine,33.683947,-117.794694
38,Long Beach City College,76511,318639,0,395150,22070,417220,Long Beach,33.768322,-118.195617
39,Long Beach Unified,279304,5412,0,284716,73433,358150,Long Beach,33.768322,-118.195617
40,Long Beach Unified,168781,87300,0,256081,46461,302542,Long Beach,33.768322,-118.195617
41,Long Beach City College,223347,0,0,223347,59275,282622,Long Beach,33.768322,-118.195617
42,Walnut Valley Unified,323494,13049,0,336543,78868,415412,Walnut,34.020289,-117.865339
43,Walnut Creek Elementary,206435,44236,0,250671,35957,286628,Walnut,34.020289,-117.865339
44,Bakersfield City,289388,49941,0,339329,75496,414825,Bakersfield,35.373292,-119.018711
45,Placentia-Yorba Linda Unified,334839,0,0,334839,78263,413102,Placentia,33.872236,-117.870336
46,Los Angeles County Office of Education,336349,18553,0,354902,57004,411906,Los Angeles,34.052233,-118.243686
47,Mountain View Elementary-Los Angeles,215486,3016,0,218502,45664,264166,Los Angeles,34.052233,-118.243686
48,West Covina Unified,313135,17210,0,330345,79960,410305,Covina,34.090008,-117.890339
49,Covina-Valley Unified,273754,46465,0,320219,50119,370338,Covina,34.090008,-117.890339
50,Covina-Valley Unified,186725,7612,0,194337,39680,234017,Covina,34.090008,-117.890339
51,Rialto Unified,283397,64180,0,347577,60074,407651,Rialto,34.1064,-117.370325
52,Arcadia Unified,308403,43200,0,351603,53255,404858,Arcadia,34.139728,-118.035344
53,Downey Unified,297515,23844,0,321359,78550,399909,Downey,33.940014,-118.132569
54,Glendale Unified,310000,18500,0,328500,70866,399366,Glendale,34.142508,-118.255075
55,Lake Elsinore Unified,271341,59525,0,330866,66866,397732,Lake Elsinore,33.668078,-117.327261
56,Sacramento City Unified,314392,0,0,314392,81599,395992,Sacramento,38.581572,-121.4944
57,Claremont Unified,316929,0,0,316929,76966,393895,Claremont,34.096675,-117.719778
58,Whittier Union High,292924,3228,0,296153,95792,391945,Whittier,33.979178,-118.032844
59,East Whittier City Elementary,250450,15813,0,266263,63318,329581,Whittier,33.979178,-118.032844
60,South Whittier Elementary,225545,23178,0,248723,63159,311882,Whittier,33.979178,-118.032844
61,Whittier City Elementary,234443,5861,0,240304,61841,302145,Whittier,33.979178,-118.032844
62,Huntington Beach Union High,314885,2000,0,316885,75046,391931,Huntington Beach,33.660297,-117.999225
63,Huntington Beach City Elementary,167433,144391,0,311824,43129,354953,Huntington Beach,33.660297,-117.999225
64,Winton,262330,4638,0,266968,51011,317979,Huntington Beach,33.660297,-117.999225
65,Palo Alto Unified,313635,0,0,313635,78241,391876,Palo Alto,37.441883,-122.143019
66,Palo Verde College,250071,0,0,250071,66170,316241,Palo Alto,37.441883,-122.143019
67,Santa Ana Unified,322245,14570,0,336815,54307,391122,Santa Ana,33.745572,-117.867833
68,Pasadena Unified,270962,21500,0,292463,98448,390911,Pasadena,34.147786,-118.144517
69,South Pasadena Unified,265089,13200,0,278289,59507,337796,Pasadena,34.147786,-118.144517
70,Chula Vista Elementary,311680,13686,0,325366,60607,385973,Chula Vista,32.640053,-117.084197
71,Poway Unified,312084,0,0,312084,73872,385956,Poway,32.962822,-117.035864
72,Manteca Unified,284070,21000,0,305070,79922,384992,Manteca,37.797428,-121.216053
73,Rio Hondo College,277750,21954,0,299704,82102,381807,Rio Dell,40.4993,-124.106436
74,Rio Elementary,211635,0,0,211635,64147,275782,Rio Dell,40.4993,-124.106436
75,San Ramon Valley Unified,243990,82979,0,326969,53341,380310,San Ramon,37.779928,-121.978014
76,San Mateo Union High,322400,4200,0,326600,53599,380199,San Mateo,37.562992,-122.325525
77,San Mateo County Office of Education,235428,16368,0,251796,93062,344859,San Mateo,37.562992,-122.325525
78,Jefferson Elementary-San Mateo,246476,6000,0,252476,67292,319769,San Mateo,37.562992,-122.325525
79,Cerritos College,307894,19752,0,327646,51225,378871,Cerritos,33.858347,-118.064786
80,San Francisco Unified,309999,0,0,309999,68711,378711,San Francisco,37.774931,-122.419417
81,Culver City Unified,242310,77215,0,319525,59186,378711,Culver City,34.021122,-118.396467
82,Pomona Unified,295991,8879,0,304870,71731,376602,Pomona,34.055228,-117.752306
83,Chino Valley Unified,284792,35691,0,320483,56048,376531,Chino,34.012236,-117.688944
84,Newport-Mesa Unified,292452,10200,0,302652,73047,375699,Costa Mesa,33.641133,-117.918669
85,Napa Valley Unified,309833,17320,0,327154,47183,374337,Napa,38.297539,-122.286864
86,Napa County Office of Education,275207,5520,0,280727,74921,355648,Napa,38.297539,-122.286864
87,Napa Valley College,246588,37187,0,283775,49104,332880,Napa,38.297539,-122.286864
88,Mountain View Whisman,305980,2000,0,307980,65863,373843,Mountain View,37.386053,-122.08385
89,Mountain View Elementary-San Bernardino,210337,8270,0,218607,35125,253732,Mountain View,37.386053,-122.08385
90,Union Elementary,304570,1800,0,306370,66570,372941,Union City,37.593392,-122.043831
91,Reed Union Elementary,269725,1699,0,271425,63205,334631,Union City,37.593392,-122.043831
92,Sweetwater Union High,224592,53734,0,278326,51330,329656,Union City,37.593392,-122.043831
93,Hart-Ransom Union Elementary,202184,4500,0,206684,43192,249876,Union City,37.593392,-122.043831
94,Pleasanton Unified,304179,14692,0,318872,53467,372339,Pleasanton,37.662431,-121.874678
95,Baldwin Park Unified,281502,13200,0,294702,77622,372324,Baldwin Park,34.085286,-117.960897
96,Las Lomitas Elementary,283185,19670,0,302855,68312,371168,Lomita,33.792239,-118.315072
97,Compton Unified,271067,43090,0,314157,56884,371041,Compton,33.89585,-118.220072
98,Garden Grove Unified,298016,2435,0,300451,69800,370251,Garden Grove,33.773906,-117.941447
99,Fullerton Elementary,279043,21190,0,300233,67800,368033,Fullerton,33.870292,-117.925339
100,Fullerton Joint Union High,285406,4559,0,289965,73436,363401,Fullerton,33.870292,-117.925339
101,San Jose Unified,275313,8679,0,283992,83309,367301,San Jose,37.339386,-121.894956
102,Fairfield-Suisun Unified,279512,0,0,279512,87518,367030,Fairfield,38.249358,-122.039967
103,Alvord Unified,271364,0,0,271364,49030,320394,Fairfield,38.249358,-122.039967
104,Riverside Unified,300397,0,0,300397,64794,365191,Riverside,33.95335,-117.396156
105,Riverside County Office of Education,283005,8250,0,291255,59680,350935,Riverside,33.95335,-117.396156
106,Riverside County Office of Education,281302,1850,0,283152,57733,340885,Riverside,33.95335,-117.396156
107,San Bernardino County Office of Education,289966,8300,0,298266,65161,363427,San Bernardino,34.108344,-117.289764
108,San Dieguito Union High,275323,0,0,275323,63992,339315,San Bernardino,34.108344,-117.289764
109,Del Mar Union Elementary,289235,13000,0,302235,59756,361991,Del Mar,32.959489,-117.265314
110,Menlo Park City Elementary,263351,42553,0,305905,53769,359675,Menlo Park,37.453828,-122.182186
111,Anaheim Elementary,289785,0,0,289785,68060,357845,Anaheim,33.835292,-117.914503
112,Anaheim Union High,269089,8236,0,277325,63257,340582,Anaheim,33.835292,-117.914503
113,Lynwood Unified,199583,59093,0,258676,98850,357527,Lynwood,33.930292,-118.211461
114,Gavilan College,285558,7800,0,293358,63415,356773,Lincoln,38.891564,-121.293008
115,Lincoln Unified,227718,6000,0,233718,57150,290868,Lincoln,38.891564,-121.293008
116,Los Alamitos Unified,277309,18043,0,295352,59982,355334,Los Alamitos,33.803072,-118.072564
117,Beverly Hills Unified,286761,9000,0,295761,58387,354148,Beverly Hills,34.073619,-118.400356
118,Palos Verdes Peninsula Unified,292444,1200,0,293644,57384,351028,Dos Palos,36.986058,-120.626572
119,Dos Palos Oro Loma Joint Unified,178495,2499,0,180994,45129,226123,Dos Palos,36.986058,-120.626572
120,Laguna Beach Unified,273768,3000,0,276768,73532,350300,Laguna Beach,33.542247,-117.783111
121,Paramount Unified,293505,1000,0,294505,55687,350192,Paramount,33.889461,-118.159792
122,Alhambra Unified,276744,24765,0,301509,47029,348538,Alhambra,34.095286,-118.127014
123,Dry Creek Joint Elementary,237074,48526,0,285600,61361,346962,Sutter Creek,38.392967,-120.802436
124,San Joaquin County Office of Education,264681,10672,0,275354,69976,345330,San Joaquin,36.606617,-120.189044
125,San Joaquin Delta College,258302,4272,0,262574,77026,339601,San Joaquin,36.606617,-120.189044
126,Alameda County Office of Education,291864,4200,0,296064,49166,345231,Alameda,37.765206,-122.241636
127,Alameda Unified,234166,7580,0,241747,47005,288752,Alameda,37.765206,-122.241636
128,Hillsborough City Elementary,258768,18385,0,277153,66944,344098,Amador City,38.419356,-120.824103
129,Sunnyvale School District,269772,20821,0,290593,53345,343938,Sunnyvale,37.368831,-122.03635
130,Sunnyvale School District,174100,99509,0,273609,48885,322494,Sunnyvale,37.368831,-122.03635
131,Centralia Elementary,268446,26947,0,295393,48291,343684,Hemet,33.747519,-116.971967
132,Savanna Elementary,276320,13086,0,289406,53809,343215,Hemet,33.747519,-116.971967
133,Franklin-McKinley Elementary,247572,6000,0,253572,71734,325306,Hemet,33.747519,-116.971967
134,Magnolia Elementary,256425,7200,0,263625,57537,321162,Hemet,33.747519,-116.971967
135,Hemet Unified,230685,6000,0,236685,33063,269748,Hemet,33.747519,-116.971967
136,Mt San Jacinto College,265151,5242,0,270393,72254,342647,San Jacinto,33.783908,-116.958636
137,Oceanside Unified,268882,10686,0,279568,61675,341243,Oceanside,33.195869,-117.379483
138,ABC Unified,268760,19119,0,287879,52516,340395,Auburn,38.896564,-121.076889
139,Auburn Union Elementary,192801,0,0,192801,39588,232390,Auburn,38.896564,-121.076889
140,Lammersville Joint Unified,234572,26958,0,261530,77808,339339,Farmersville,36.297728,-119.206778
141,Antioch Unified,266572,15901,0,282474,56600,339075,Antioch,38.004922,-121.805789
142,Soledad Unified,247814,13169,0,260984,77982,338966,Soledad,32.991156,-117.271147
143,Soledad Unified,185146,6078,0,191224,67799,259023,Soledad,32.991156,-117.271147
144,Moreno Valley Unified,282556,0,0,282556,54654,337211,Moreno Valley,33.942467,-117.229672
145,Butte-Glenn Community College District,256661,9820,0,266481,70068,336549,Blue Lake,40.882908,-123.98395
146,Hacienda la Puente Unified,281444,0,0,281444,54371,335816,La Puente,34.020011,-117.949508
147,Palm Springs Unified,271617,0,0,271617,61640,333257,Palm Springs,33.830297,-116.545292
148,College of the Sequoias,249999,9000,0,258999,69765,328765,El Monte,34.068622,-118.027567
149,El Monte City,244445,6600,0,251045,62260,313305,El Monte,34.068622,-118.027567
150,El Monte Union High,214085,11617,0,225702,46863,272565,El Monte,34.068622,-118.027567
151,El Segundo Unified,252498,7802,0,260300,68060,328360,El Segundo,33.919181,-118.416464
152,Fontana Unified,250000,9615,0,259615,68616,328231,Fontana,34.092233,-117.435047
153,La Mesa-Spring Valley,251287,12000,0,263287,64907,328194,La Mesa,32.767828,-117.023083
154,Oro Grande,254685,27673,0,282358,45566,327924,Arroyo Grande,35.118586,-120.590725
155,Los Gatos-Saratoga Union High,260000,2760,0,262760,64739,327499,Saratoga,37.263833,-122.023014
156,Saratoga Union Elementary,249000,667,0,249667,70822,320490,Saratoga,37.263833,-122.023014
157,Mill Valley Elementary,268077,7200,0,275277,51485,326763,Mill Valley,37.906036,-122.544975
158,Cupertino Union,246678,31826,0,278504,46767,325271,Cupertino,37.322997,-122.032183
159,Cupertino Union,150246,51471,0,201717,34741,236459,Cupertino,37.322997,-122.032183
160,Temple City Unified,249333,25671,0,275004,49885,324889,Temple City,34.107231,-118.057847
161,Stanislaus County Office of Education,246024,2973,0,248997,75617,324614,Clayton,37.941033,-121.935792
162,Coachella Valley Unified,250000,9000,0,259000,63102,322102,Coachella,33.6803,-116.173894
163,Morgan Hill Unified,266834,4200,0,271034,50445,321479,Morgan Hill,37.1305,-121.654389
