,Agency,Base Pay,Other Pay,Overtime Pay,Total Pay,Benefits,Total Pay & Benefits,City,Latitude,Longitude
164,Lodi Unified,268296,8400,0,276696,44604,321300,Lodi,38.134147,-121.272219
165,Brea-Olinda Unified,261332,4751,0,266083,54975,321058,Brea,33.916681,-117.900061
166,Redlands Unified,245885,19473,0,265358,55440,320798,Redlands,34.055569,-117.182539
167,Clovis Unified,230000,33997,0,263997,56748,320745,Clovis,36.825228,-119.702919
168,Victor Valley Union High,257125,1500,0,258625,61557,320182,Fountain Valley,33.709186,-117.953669
169,Fountain Valley Elementary,254201,3600,0,257801,52462,310263,Fountain Valley,33.709186,-117.953669
170,Hesperia Unified,260689,591,0,261280,58655,319936,Hesperia,34.426389,-117.300878
171,Monterey County Office of Education,235845,5480,0,241325,78360,319685,Monterey,36.600239,-121.894675
172,Monterey Peninsula Unified,236755,14502,0,251257,51366,302623,Monterey,36.600239,-121.894675
173,North Monterey County Unified,200602,1135,20642,222379,68515,290895,Monterey,36.600239,-121.894675
174,Monterey Peninsula College,219855,3996,0,223851,57300,281151,Monterey,36.600239,-121.894675
175,South Monterey County Joint Union High,222500,7020,0,229520,49583,279103,Monterey,36.600239,-121.894675
176,Shasta College,260079,0,500,260579,58667,319246,Shasta Lake,40.680428,-122.370842
177,Shasta Union High,209856,0,0,209856,48390,258247,Shasta Lake,40.680428,-122.370842
178,La Habra City Elementary,268035,0,0,268035,50949,318984,La Habra,33.931958,-117.946172
179,Conejo Valley Unified,260139,0,0,260139,58757,318896,Grass Valley,39.219061,-121.061061
180,Saint Helena Unified,272125,20,0,272145,46550,318696,St. Helena,38.505242,-122.470386
181,Norwalk-La Mirada Unified,240738,14737,0,255475,62723,318199,La Mirada,33.917236,-118.012008
182,Ventura County Office of Education,245999,600,0,246599,71051,317650,Ventura,34.274639,-119.229006
183,Ocean View-Ventura,216732,36679,0,253411,47933,301344,Ventura,34.274639,-119.229006
184,Ventura Unified,229456,500,0,229956,53934,283890,Ventura,34.274639,-119.229006
185,Simi Valley Unified,254933,5057,0,259990,57185,317176,Simi Valley,34.269447,-118.781483
186,Escondido Union High,252706,0,0,252706,64316,317022,Escondido,33.119208,-117.086422
187,Escondido Union,245102,4800,0,249902,53234,303136,Escondido,33.119208,-117.086422
188,Moreland,258156,0,0,258156,58851,317008,Orland,39.747381,-122.196375
189,Lompoc Unified,254382,21996,0,276379,40326,316705,Lompoc,34.63915,-120.457942
190,Ohlone College,191738,74113,3834,269687,46024,315712,Ione,38.352692,-120.932717
191,Rocklin Unified,262107,1137,0,263245,51836,315081,Rocklin,38.790733,-121.235783
192,Hawthorne School District,232338,17119,0,249458,65335,314794,Hawthorne,33.916403,-118.352575
193,Monrovia Unified,236981,11716,0,248697,65545,314243,Monrovia,34.144428,-118.001947
194,Burbank Unified,248007,2661,0,250669,63380,314050,Burbank,34.180839,-118.308967
195,Roseville Joint Union High,244116,16937,0,261053,52935,313989,Roseville,38.752122,-121.288006
196,Roseville City Elementary,226114,7200,0,233314,63576,296890,Roseville,38.752122,-121.288006
197,Washington Unified-Yolo,230098,33578,0,263676,50060,313736,Arvin,35.2018,-118.833106
198,Davis Joint Unified,253231,12053,0,265285,48360,313645,Davis,38.544906,-121.740517
199,Charter Oak Unified,238948,9960,0,248908,64117,313025,Live Oak,36.983561,-121.980517
200,Live Oak Elementary,190662,0,0,190662,46902,237564,Live Oak,36.983561,-121.980517
201,Live Oak Unified,178818,0,0,178818,49884,228703,Live Oak,36.983561,-121.980517
202,Lancaster Elementary,240236,11020,0,251256,61709,312965,Lancaster,34.686786,-118.154164
203,Ceres Unified,239792,19260,0,259052,53734,312786,Ceres,37.594933,-120.957711
204,Fillmore Unified,228948,22694,0,251642,60680,312323,Fillmore,34.399164,-118.918153
205,Manhattan Beach Unified,242157,28956,0,271113,40648,311761,Manhattan Beach,33.884736,-118.410908
206,Tracy Joint Unified,231260,25458,0,256718,55021,311740,Tracy,37.73965,-121.425222
207,South San Francisco Unified,249000,20807,0,269807,41778,311586,South San Francisco,37.654656,-122.40775
208,San Marcos Unified,258775,7948,0,266723,44226,310949,San Marcos,33.143372,-117.166144
209,San Marino Unified,255888,7200,0,263088,47280,310368,San Marino,34.121397,-118.106458
210,Taft College,227384,20199,0,247584,62637,310221,Taft,35.142467,-119.456508
211,Kerman Unified,218143,43885,0,262028,47092,309121,Kerman,36.723558,-120.059878
212,Chico Unified,238553,108,0,238661,69923,308585,Chico,39.728494,-121.837478
213,Gilroy Unified,230468,21699,0,252168,56036,308204,Gilroy,37.005783,-121.568275
214,El Centro Elementary,229357,20486,0,249843,57193,307037,El Centro,32.792,-115.56305
215,Santa Maria Joint Union High,254625,0,0,254625,52333,306958,Santa Maria,34.953033,-120.435719
216,Santa Maria-Bonita,228916,6000,0,234916,51987,286904,Santa Maria,34.953033,-120.435719
217,Merced City Elementary,247428,1080,0,248508,57229,305737,Merced,37.302164,-120.482967
218,Merced City Elementary,36447,241110,0,277557,4685,282242,Merced,37.302164,-120.482967
219,Merced Union High,196504,18787,0,215291,45004,260295,Merced,37.302164,-120.482967
220,Sonoma County Office of Education,248984,5600,0,254584,51063,305647,Sonoma,38.291858,-122.458036
221,Sonoma Valley Unified,210860,5575,0,216436,43985,260421,Sonoma,38.291858,-122.458036
222,West Sonoma County Union High,180744,5400,0,186144,49278,235422,Sonoma,38.291858,-122.458036
223,Hayward Unified,134238,150228,0,284466,20443,304910,Hayward,37.668819,-122.080797
224,Vista Unified,260000,0,0,260000,43225,303225,Vista,33.200036,-117.242536
225,Santa Monica-Malibu Unified,237868,10800,0,248668,53863,302531,Malibu,34.005008,-118.810172
226,Murrieta Valley Unified,248268,1261,0,249529,52323,301852,Murrieta,33.553914,-117.213922
227,Pittsburg Unified,240000,13222,0,253222,48483,301705,Pittsburg,38.027975,-121.884681
228,Hueneme Elementary,222079,21576,0,243655,57532,301188,Port Hueneme,34.180728,-119.208158
229,San Mateo-Foster City,235522,20190,0,255712,45023,300735,Foster City,37.558547,-122.271078
230,Porterville Unified,235547,7375,0,242923,57544,300467,Porterville,36.065231,-119.016767
231,Brentwood Union Elementary,237053,2853,0,239907,60369,300276,Brentwood,34.057361,-118.480511
232,Tulare County Office of Education,254131,0,0,254131,46137,300268,Tulare,36.207728,-119.347339
233,Portola Valley Elementary,217499,2100,0,219599,78624,298224,Portola,39.810458,-120.469103
234,Patterson Joint Unified,242269,0,0,242269,55645,297915,Patterson,37.4716,-121.129656
235,Novato Unified,232714,8855,0,241569,54521,296090,Novato,38.107419,-122.569703
236,Larkspur-Corte Madera,234163,9999,0,244162,51865,296028,Larkspur,37.934092,-122.535253
237,Buena Park Elementary,220210,16243,0,236453,59484,295937,Buena Park,33.867514,-117.998117
238,Oakley Union Elementary,214825,33423,0,248248,46406,294655,Oakley,37.997422,-121.712453
239,Cabrillo Unified,207445,10515,0,217960,74713,292674,Camarillo,34.216394,-119.037603
240,Temecula Valley Unified,226420,15719,0,242139,50396,292535,Temecula,33.493639,-117.148364
241,Temecula Valley Unified,193953,43201,0,237154,38653,275807,Temecula,33.493639,-117.148364
242,Hilmar Unified,207858,32234,0,240092,51811,291903,Marina,36.684403,-121.802172
243,Perris Elementary,241004,0,0,241004,50456,291460,Perris,33.782519,-117.228647
244,Carlsbad Unified,247490,0,0,247490,43612,291102,Carlsbad,33.158092,-117.350594
245,Salinas Union High,231415,0,0,231415,59540,290956,Salinas,36.677736,-121.6555
246,Berkeley Unified,231165,750,0,231915,58930,290845,Berkeley,37.871592,-122.272747
247,Encinitas Union Elementary,229812,22387,0,252199,38193,290392,Encinitas,33.036986,-117.291983
248,Colton Joint Unified,233508,2187,0,235695,54336,290031,Colton,34.073903,-117.313656
249,Scotts Valley Unified,229606,2065,0,231671,57849,289521,Scotts Valley,37.051061,-122.014683
250,Cotati-Rohnert Park Unified,226763,5624,0,232387,56979,289367,Cotati,38.327778,-122.709167
251,Piedmont City Unified,229475,0,0,229475,59611,289086,Piedmont,37.824372,-122.231636
252,Chowchilla Elementary,224006,13906,0,237913,49524,287438,Chowchilla,37.123,-120.260175
253,Santee School District,210058,34912,0,244970,42055,287025,Santee,32.838383,-116.973917
254,Westminster School District,238309,0,0,238309,48263,286572,Westminster,33.751342,-117.993992
255,Rosemead Elementary,198744,23741,0,222485,63644,286129,Rosemead,34.080564,-118.072847
256,Oxnard School District,235000,0,0,235000,50973,285973,Oxnard,34.197506,-119.177053
257,Oxnard Union High,199266,1936,0,201202,49048,250251,Oxnard,34.197506,-119.177053
258,Yucaipa-Calimesa Joint Unified,228842,2756,0,231598,52818,284416,Calimesa,34.003903,-117.061975
259,Imperial Valley College,210000,15995,0,225995,56602,282598,Imperial,32.847553,-115.569439
260,Imperial Unified,207724,477,0,208201,54089,262291,Imperial,32.847553,-115.569439
261,Woodland Joint Unified,235389,0,0,235389,46529,281918,Woodland,38.678517,-121.773297
262,Cypress Elementary,232751,0,0,232751,48973,281724,Cypress,37.320531,-121.962242
263,Delano Union Elementary,223625,2633,0,226258,54669,280927,Delano,35.768842,-119.247053
264,Delano Joint Union High,209150,12336,0,221486,50775,272262,Delano,35.768842,-119.247053
265,Lafayette Elementary,225773,6089,0,231862,46097,277959,Lafayette,37.885758,-122.118019
266,Alta Loma Elementary,237644,0,0,237644,39713,277357,Loma Linda,34.048347,-117.261153
267,Loma Prieta Joint Union Elementary,211124,0,0,211124,37720,248845,Loma Linda,34.048347,-117.261153
268,Turlock Unified,220701,3000,0,223701,53193,276894,Turlock,37.494658,-120.846594
269,Visalia Unified,254473,1200,0,255673,20947,276621,Visalia,36.330228,-119.292058
270,Greenfield Union Elementary,218400,6000,0,224400,51111,275511,Greenfield,36.3208,-121.243814
271,Solana Beach Elementary,219300,0,0,219300,55605,274905,Solana Beach,32.991156,-117.271147
272,Newman-Crows Landing Unified,214752,17537,0,232289,40281,272571,Newman,37.313828,-121.020761
273,Sanger Unified,220532,0,0,220532,51040,271573,Sanger,36.708006,-119.555964
274,Madera County Superintendent of Schools,222438,480,0,222918,47850,270768,Madera,36.961336,-120.060717
275,Lindsay Unified,211362,10684,7411,229457,40718,270175,Lindsay,36.203006,-119.088161
276,Albany City Unified,211122,9973,0,221096,47788,268884,Albany,37.886869,-122.297747
277,Yuba City Unified,213920,6597,0,220517,47611,268129,Yuba City,39.140447,-121.616911
278,Santa Paula Unified,225500,5033,0,230533,37489,268022,Santa Paula,34.354167,-119.059269
279,Eureka City Schools,202486,20259,0,222745,44633,267378,Eureka,40.802072,-124.163672
280,Eureka Union,203858,0,0,203858,41811,245670,Eureka,40.802072,-124.163672
281,Dublin Unified,228066,0,0,228066,38400,266466,Dublin,37.702153,-121.935792
282,Modesto City Schools,175000,3800,0,178800,86489,265289,Modesto,37.639097,-120.996878
283,Folsom-Cordova Unified,249124,0,0,249124,15004,264128,Folsom,38.677958,-121.176058
284,Calexico Unified,200430,3600,0,204030,59247,263277,Calexico,32.678947,-115.498883
285,King City Union,211973,0,0,211973,50274,262247,King City,36.212744,-121.126028
286,Hollister School District,209000,0,0,209000,53148,262148,Hollister,36.852453,-121.401603
287,Duarte Unified,217944,6459,0,224403,37294,261697,Duarte,34.13945,-117.977286
288,Moorpark Unified,204228,0,0,204228,55067,259295,Moorpark,34.144897,-118.268742
289,Pacifica-San Mateo,212040,900,0,212940,45972,258912,Pacifica,37.613825,-122.486919
290,Ripon Unified,197232,14114,0,211347,46962,258309,Ripon,37.739453,-121.135414
291,Gonzales Unified,194854,13053,0,207908,49817,257726,Gonzales,36.506628,-121.444381
292,San Carlos Elementary,207499,0,0,207499,50047,257547,San Carlos,37.507158,-122.260522
293,Marysville Joint Unified,207200,14,0,207214,49791,257005,Marysville,39.145725,-121.591356
294,Azusa Unified,216700,2796,0,219496,36604,256100,Azusa,34.133619,-117.907564
295,Newhall,200000,13130,0,213130,42329,255459,Newark,37.529658,-122.040239
296,Dinuba Unified,194844,12403,0,207247,48209,255456,Dinuba,36.543283,-119.387067
297,Needles Unified,178500,28392,0,206892,47644,254536,Needles,34.848061,-114.614133
298,Baldy View ROP,204472,4309,0,208781,45048,253829,Morro Bay,35.365808,-120.8499
299,Atwater Elementary,204904,1000,0,205904,47816,253720,Atwater,37.347717,-120.609083
300,Shasta County Office of Education,204492,1200,0,205692,46599,252291,Mount Shasta,41.410806,-122.194575
301,Selma Unified,183800,23654,0,207454,44300,251755,Selma,36.570783,-119.612075
302,Torrance Unified,160091,57263,0,217354,34267,251621,Torrance,33.83585,-118.340628
303,Los Banos Unified,195100,1000,0,196100,53447,249547,Los Banos,37.058278,-120.849914
304,Upland Unified,182066,12292,0,194358,55030,249388,Upland,34.097511,-117.648389
305,Livingston Union,191676,8856,0,200532,48624,249156,Livingston,37.386883,-120.723533
306,Dixon Unified,186594,4385,0,190979,57659,248638,Dixon,38.445464,-121.823297
307,Carpinteria Unified,185468,6200,0,191668,54564,246232,Carpinteria,34.398883,-119.518456
308,Atascadero Unified,201047,0,0,201047,43780,244827,Atascadero,35.489417,-120.670725
309,Waterford Unified,188191,13800,0,201991,42364,244355,Waterford,37.641319,-120.760483
310,Firebaugh-Las Deltas Unified,191469,0,0,191469,51990,243460,Firebaugh,36.858839,-120.456008
311,Healdsburg Unified,195271,1500,0,196771,46593,243364,Healdsburg,38.610467,-122.869161
312,Hermosa Beach City Elementary,203409,0,0,203409,39803,243212,Hermosa Beach,33.862236,-118.399519
313,Kingsburg Elementary Charter,183204,16159,0,199364,43744,243108,Kingsburg,36.513839,-119.554017
314,Kingsburg Joint Union High,184207,0,0,184207,46104,230311,Kingsburg,36.513839,-119.554017
315,Mendota Unified,174678,49130,0,223808,16836,240645,Mendota,36.753561,-120.381558
316,Ukiah Unified,197733,0,0,197733,42502,240235,Ukiah,39.150172,-123.207783
317,McFarland Unified,180250,7960,0,188210,50974,239184,McFarland,35.678011,-119.229275
318,Brawley Elementary,185733,10419,0,196152,42117,238270,Brawley,32.978658,-115.530267
319,Pleasant Valley,196920,0,0,196920,41267,238187,Pleasant Hill,37.947978,-122.060797
320,Corcoran Joint Unified,191570,0,0,191570,46338,237908,Corcoran,37.977978,-122.031072
321,Coalinga-Huron Unified,187206,4833,0,192039,45358,237398,Coalinga,36.139678,-120.36015
322,Hanford Joint Union High,183699,4800,0,188499,48667,237166,Hanford,36.32745,-119.645683
323,Vacaville Unified,195723,6600,0,202323,33649,235973,Vacaville,38.356578,-121.987744
324,Placerville Union Elementary,167258,3999,0,171258,63036,234295,Placerville,38.729625,-120.798547
325,Biggs Unified,158671,40917,0,199588,33952,233540,Biggs,39.412389,-121.71275
326,Parlier Unified,174033,14127,0,188161,45173,233334,Parlier,36.611617,-119.527072
327,Susanville Elementary,0,180056,0,180056,51224,231281,Susanville,40.416283,-120.653006
328,Paso Robles Joint Unified,181907,7020,0,188927,42177,231104,Paso Robles,35.632278,-120.664186
329,Escalon Unified,185950,0,0,185950,44576,230527,Escalon,37.797428,-120.996603
330,Gridley Unified,185371,2616,0,187988,41976,229965,Gridley,39.363778,-121.693583
331,Oroville Union High,186929,0,0,186929,42608,229538,Oroville,39.513775,-121.556358
332,Oroville City Elementary,174705,11360,0,186065,42166,228232,Oroville,39.513775,-121.556358
333,Hughson Unified,185357,9099,0,194457,31061,225518,Hughson,37.602725,-120.866481
