,Agency,Base Pay,Other Pay,Overtime Pay,Total Pay,Benefits,Total Pay & Benefits,City
0,Ontario-Montclair,355285,197112,0,552397,167573,719970,Montclair
1,Wheatland Union High,233539,10099,0,243639,342424,586063,Wheatland
2,Corona-Norco Unified,398979,57050,0,456029,80208,536238,Corona
3,College of the Desert,399006,60457,0,459463,66557,526020,Palm Desert
4,Sequoia Union High,192784,259544,0,452329,66560,518889,Union City
5,Stockton Unified,141625,338083,0,479708,38827,518535,Stockton
6,Fremont Union High,409914,7970,0,417884,91355,509239,Fremont
7,Center Joint Unified,201408,15981,0,217389,288403,505792,Exeter
8,Elk Grove Unified,354818,34061,0,388879,115168,504047,Elk Grove
9,Beaumont Unified,185804,269653,0,455457,48482,503939,Beaumont
10,Twin Rivers Unified,364075,5266,0,369341,108961,478302,Riverbank
11,Antelope Valley Union High,326916,32028,0,358945,108793,467738,Fountain Valley
12,Cajon Valley Union,335055,57464,0,392519,68167,460686,El Cajon
13,Fallbrook Union Elementary,338956,47582,0,386538,68988,455526,Union City
14,Orange County Department of Education,364895,0,0,364895,85559,450454,Orange
15,Capistrano Unified,351533,23006,0,374539,74076,448615,Vista
16,College Of Marin,338250,35509,0,373759,72615,446374,Marina
17,Tustin Unified,359076,6995,0,366071,79354,445425,Tustin
18,Montebello Unified,214766,159996,0,374762,69503,444265,Bell
19,Redondo Beach Unified,360328,2401,0,362729,80518,443247,Redondo Beach
20,Citrus College,351010,7020,0,358030,83943,441973,Citrus Heights
21,San Diego County Office of Education,344103,15954,0,360057,79743,439800,San Diego
22,San Leandro Unified,354061,25651,0,379712,59898,439611,San Leandro
23,Livermore Valley Joint Unified,339550,17009,0,356559,79355,435915,Livermore
24,Natomas Unified,338340,17666,0,356006,79760,435766,Novato
25,Oakland Unified,327295,29633,0,356929,71554,428483,Oakland
26,Santa Barbara City College,318930,36500,0,355430,71764,427195,Santa Barbara
27,Fresno Unified,332377,18625,0,351002,75384,426386,Fresno
28,Santa Rosa Junior College,324017,17280,0,341297,80011,421308,Santa Rosa
29,Santa Clara County Office of Education,352827,26710,0,379537,41166,420703,Santa Clara
30,Mountain View-Los Altos Union High,306712,40108,0,346821,71946,418768,Los Altos
31,Irvine Unified,351386,3490,0,354876,62902,417778,Irvine
32,Long Beach City College,76511,318639,0,395150,22070,417220,Long Beach
33,Walnut Valley Unified,323494,13049,0,336543,78868,415412,Walnut
34,Bakersfield City,289388,49941,0,339329,75496,414825,Bakersfield
35,Placentia-Yorba Linda Unified,334839,0,0,334839,78263,413102,Placentia
36,Bonita Unified,274222,26540,0,300762,111913,412676,Fairfield
37,Los Angeles County Office of Education,336349,18553,0,354902,57004,411906,Los Angeles
38,West Covina Unified,313135,17210,0,330345,79960,410305,Covina
39,Marin County Office of Education,335555,120,0,335675,73608,409284,Marina
40,Rialto Unified,283397,64180,0,347577,60074,407651,Rialto
41,Arcadia Unified,308403,43200,0,351603,53255,404858,Arcadia
42,Val Verde Unified,308200,14496,0,322696,81687,404383,La Verne
43,South Bay Union,316147,18137,0,334284,68881,403165,Morro Bay
44,Orange Unified,320606,12542,0,333148,69470,402618,Orange
45,Miracosta College,306554,19500,0,326054,75927,401981,Arcata
46,Oak Grove Elementary,298043,22851,0,320894,79622,400516,Elk Grove
47,Downey Unified,297515,23844,0,321359,78550,399909,Downey
48,Glendale Unified,310000,18500,0,328500,70866,399366,Glendale
49,Lake Elsinore Unified,271341,59525,0,330866,66866,397732,Lake Elsinore
50,Sacramento City Unified,314392,0,0,314392,81599,395992,Sacramento
51,Claremont Unified,316929,0,0,316929,76966,393895,Claremont
52,Whittier Union High,292924,3228,0,296153,95792,391945,Whittier
53,Huntington Beach Union High,314885,2000,0,316885,75046,391931,Huntington Beach
54,Palo Alto Unified,313635,0,0,313635,78241,391876,Palo Alto
55,Santa Ana Unified,322245,14570,0,336815,54307,391122,Santa Ana
56,Pasadena Unified,270962,21500,0,292463,98448,390911,Pasadena
57,Chula Vista Elementary,311680,13686,0,325366,60607,385973,Chula Vista
58,Poway Unified,312084,0,0,312084,73872,385956,Poway
59,Manteca Unified,284070,21000,0,305070,79922,384992,Manteca
60,Kern High,294215,23860,0,318075,66439,384514,Kerman
61,Campbell Union,316719,5799,0,322518,61075,383594,Bell
62,West Contra Costa Unified,265200,52610,0,317810,64861,382672,Costa Mesa
63,Rio Hondo College,277750,21954,0,299704,82102,381807,Rio Dell
64,San Ramon Valley Unified,243990,82979,0,326969,53341,380310,San Ramon
65,San Mateo Union High,322400,4200,0,326600,53599,380199,San Mateo
66,Rowland Unified,313432,0,0,313432,66594,380026,Orland
67,Cerritos College,307894,19752,0,327646,51225,378871,Cerritos
68,San Francisco Unified,309999,0,0,309999,68711,378711,San Francisco
69,Culver City Unified,242310,77215,0,319525,59186,378711,Culver City
70,Pomona Unified,295991,8879,0,304870,71731,376602,Pomona
71,Chino Valley Unified,284792,35691,0,320483,56048,376531,Chino
72,Saddleback Valley Unified,301932,0,0,301932,74075,376007,Fountain Valley
73,Newport-Mesa Unified,292452,10200,0,302652,73047,375699,Costa Mesa
74,Napa Valley Unified,309833,17320,0,327154,47183,374337,Napa
75,Mountain View Whisman,305980,2000,0,307980,65863,373843,Mountain View
76,Union Elementary,304570,1800,0,306370,66570,372941,Union City
77,Kern County Office of Education,298027,6908,0,304935,67614,372549,Ione
78,Pleasanton Unified,304179,14692,0,318872,53467,372339,Pleasanton
79,Baldwin Park Unified,281502,13200,0,294702,77622,372324,Baldwin Park
80,Las Lomitas Elementary,283185,19670,0,302855,68312,371168,Lomita
81,Allan Hancock College,268443,3000,0,271443,99696,371139,Lincoln
82,Compton Unified,271067,43090,0,314157,56884,371041,Compton
83,Los Gatos Union Elementary,292328,7200,0,299528,70997,370525,Los Alamitos
84,Covina-Valley Unified,273754,46465,0,320219,50119,370338,Covina
85,Garden Grove Unified,298016,2435,0,300451,69800,370251,Garden Grove
86,Santa Clara Unified,277750,20287,0,298037,71043,369080,Santa Clara
87,Fullerton Elementary,279043,21190,0,300233,67800,368033,Fullerton
88,San Jose Unified,275313,8679,0,283992,83309,367301,San Jose
89,Fairfield-Suisun Unified,279512,0,0,279512,87518,367030,Fairfield
90,Castro Valley Unified,313321,0,0,313321,53501,366822,Grass Valley
91,Riverside Unified,300397,0,0,300397,64794,365191,Riverside
92,Campbell Union High,258999,30576,0,289576,74882,364459,Bell
93,San Bernardino County Office of Education,289966,8300,0,298266,65161,363427,San Bernardino
94,Fullerton Joint Union High,285406,4559,0,289965,73436,363401,Fullerton
95,Del Mar Union Elementary,289235,13000,0,302235,59756,361991,Del Mar
96,Westside Union Elementary,291594,3696,0,295290,64524,359814,Union City
97,Menlo Park City Elementary,263351,42553,0,305905,53769,359675,Menlo Park
98,Long Beach Unified,279304,5412,0,284716,73433,358150,Long Beach
99,Anaheim Elementary,289785,0,0,289785,68060,357845,Anaheim
100,La Canada Unified,274793,23480,0,298273,59390,357664,La Habra
101,Lynwood Unified,199583,59093,0,258676,98850,357527,Lynwood
102,Gavilan College,285558,7800,0,293358,63415,356773,Lincoln
103,Acalanes Union High,274111,8147,0,282258,74000,356259,Union City
104,Napa County Office of Education,275207,5520,0,280727,74921,355648,Napa
105,Los Alamitos Unified,277309,18043,0,295352,59982,355334,Los Alamitos
106,Southwestern College,283562,10200,0,293762,61221,354983,South Gate
107,Huntington Beach City Elementary,167433,144391,0,311824,43129,354953,Huntington Beach
108,Beverly Hills Unified,286761,9000,0,295761,58387,354148,Beverly Hills
109,Los Altos Elementary,247263,43262,0,290525,63287,353812,Los Altos
110,Chaffey Joint Union High,284854,600,0,285454,68081,353535,Union City
111,Jurupa Unified,294995,150,0,295145,58072,353217,Fairfield
112,Palos Verdes Peninsula Unified,292444,1200,0,293644,57384,351028,Dos Palos
113,Riverside County Office of Education,283005,8250,0,291255,59680,350935,Riverside
114,Laguna Beach Unified,273768,3000,0,276768,73532,350300,Laguna Beach
115,Paramount Unified,293505,1000,0,294505,55687,350192,Paramount
116,Alhambra Unified,276744,24765,0,301509,47029,348538,Alhambra
117,San Lorenzo Unified,267000,20138,0,287138,60857,347996,San Bruno
118,Desert Sands Unified,285000,23443,0,308443,39531,347974,Palm Desert
119,Dry Creek Joint Elementary,237074,48526,0,285600,61361,346962,Sutter Creek
120,San Joaquin County Office of Education,264681,10672,0,275354,69976,345330,San Joaquin
121,Alameda County Office of Education,291864,4200,0,296064,49166,345231,Alameda
122,San Mateo County Office of Education,235428,16368,0,251796,93062,344859,San Mateo
123,Hillsborough City Elementary,258768,18385,0,277153,66944,344098,Amador City
124,Sunnyvale School District,269772,20821,0,290593,53345,343938,Sunnyvale
125,Corona-Norco Unified,252334,39041,0,291375,52337,343713,Corona
126,Centralia Elementary,268446,26947,0,295393,48291,343684,Hemet
127,Savanna Elementary,276320,13086,0,289406,53809,343215,Hemet
128,Mt San Jacinto College,265151,5242,0,270393,72254,342647,San Jacinto
129,Oceanside Unified,268882,10686,0,279568,61675,341243,Oceanside
130,Riverside County Office of Education,281302,1850,0,283152,57733,340885,Riverside
131,Anaheim Union High,269089,8236,0,277325,63257,340582,Anaheim
132,ABC Unified,268760,19119,0,287879,52516,340395,Auburn
133,San Joaquin Delta College,258302,4272,0,262574,77026,339601,San Joaquin
134,Lammersville Joint Unified,234572,26958,0,261530,77808,339339,Farmersville
135,San Dieguito Union High,275323,0,0,275323,63992,339315,San Bernardino
136,Antioch Unified,266572,15901,0,282474,56600,339075,Antioch
137,Soledad Unified,247814,13169,0,260984,77982,338966,Soledad
138,South Pasadena Unified,265089,13200,0,278289,59507,337796,Pasadena
139,Moreno Valley Unified,282556,0,0,282556,54654,337211,Moreno Valley
140,Butte-Glenn Community College District,256661,9820,0,266481,70068,336549,Blue Lake
141,Hacienda la Puente Unified,281444,0,0,281444,54371,335816,La Puente
142,Reed Union Elementary,269725,1699,0,271425,63205,334631,Union City
143,Palm Springs Unified,271617,0,0,271617,61640,333257,Palm Springs
144,Napa Valley College,246588,37187,0,283775,49104,332880,Napa
145,El Dorado Union High,261902,0,0,261902,69115,331018,El Cajon
146,Sweetwater Union High,224592,53734,0,278326,51330,329656,Union City
147,East Whittier City Elementary,250450,15813,0,266263,63318,329581,Whittier
148,College of the Sequoias,249999,9000,0,258999,69765,328765,El Monte
149,El Segundo Unified,252498,7802,0,260300,68060,328360,El Segundo
150,Fontana Unified,250000,9615,0,259615,68616,328231,Fontana
151,La Mesa-Spring Valley,251287,12000,0,263287,64907,328194,La Mesa
152,Oro Grande,254685,27673,0,282358,45566,327924,Arroyo Grande
153,Los Gatos-Saratoga Union High,260000,2760,0,262760,64739,327499,Saratoga
154,Mill Valley Elementary,268077,7200,0,275277,51485,326763,Mill Valley
155,Franklin-McKinley Elementary,247572,6000,0,253572,71734,325306,Hemet
156,Cupertino Union,246678,31826,0,278504,46767,325271,Cupertino
157,Temple City Unified,249333,25671,0,275004,49885,324889,Temple City
158,Stanislaus County Office of Education,246024,2973,0,248997,75617,324614,Clayton
159,Sunnyvale School District,174100,99509,0,273609,48885,322494,Sunnyvale
160,Coachella Valley Unified,250000,9000,0,259000,63102,322102,Coachella
161,Morgan Hill Unified,266834,4200,0,271034,50445,321479,Morgan Hill
162,Lodi Unified,268296,8400,0,276696,44604,321300,Lodi
163,Magnolia Elementary,256425,7200,0,263625,57537,321162,Hemet
164,Brea-Olinda Unified,261332,4751,0,266083,54975,321058,Brea
165,Redlands Unified,245885,19473,0,265358,55440,320798,Redlands
166,Clovis Unified,230000,33997,0,263997,56748,320745,Clovis
167,Saratoga Union Elementary,249000,667,0,249667,70822,320490,Saratoga
168,Alvord Unified,271364,0,0,271364,49030,320394,Fairfield
169,Victor Valley Union High,257125,1500,0,258625,61557,320182,Fountain Valley
170,Hesperia Unified,260689,591,0,261280,58655,319936,Hesperia
171,Jefferson Elementary-San Mateo,246476,6000,0,252476,67292,319769,San Mateo
172,Monterey County Office of Education,235845,5480,0,241325,78360,319685,Monterey
173,Shasta College,260079,0,500,260579,58667,319246,Shasta Lake
174,La Habra City Elementary,268035,0,0,268035,50949,318984,La Habra
175,Conejo Valley Unified,260139,0,0,260139,58757,318896,Grass Valley
176,Saint Helena Unified,272125,20,0,272145,46550,318696,St. Helena
177,Norwalk-La Mirada Unified,240738,14737,0,255475,62723,318199,La Mirada
178,Winton,262330,4638,0,266968,51011,317979,Huntington Beach
179,Ventura County Office of Education,245999,600,0,246599,71051,317650,Ventura
180,Simi Valley Unified,254933,5057,0,259990,57185,317176,Simi Valley
181,Escondido Union High,252706,0,0,252706,64316,317022,Escondido
182,Moreland,258156,0,0,258156,58851,317008,Orland
183,Lompoc Unified,254382,21996,0,276379,40326,316705,Lompoc
184,Palo Verde College,250071,0,0,250071,66170,316241,Palo Alto
185,Ohlone College,191738,74113,3834,269687,46024,315712,Ione
186,Rocklin Unified,262107,1137,0,263245,51836,315081,Rocklin
187,Hawthorne School District,232338,17119,0,249458,65335,314794,Hawthorne
188,Stockton Unified,212940,37728,0,250669,63586,314255,Stockton
189,Monrovia Unified,236981,11716,0,248697,65545,314243,Monrovia
190,Burbank Unified,248007,2661,0,250669,63380,314050,Burbank
191,Roseville Joint Union High,244116,16937,0,261053,52935,313989,Roseville
192,Washington Unified-Yolo,230098,33578,0,263676,50060,313736,Arvin
193,Davis Joint Unified,253231,12053,0,265285,48360,313645,Davis
194,Redwood City Elementary,230592,15691,0,246283,67159,313443,Redwood City
195,El Monte City,244445,6600,0,251045,62260,313305,El Monte
196,Charter Oak Unified,238948,9960,0,248908,64117,313025,Live Oak
197,Lancaster Elementary,240236,11020,0,251256,61709,312965,Lancaster
198,Ceres Unified,239792,19260,0,259052,53734,312786,Ceres
199,Fillmore Unified,228948,22694,0,251642,60680,312323,Fillmore
200,South Whittier Elementary,225545,23178,0,248723,63159,311882,Whittier
201,Manhattan Beach Unified,242157,28956,0,271113,40648,311761,Manhattan Beach
202,Tracy Joint Unified,231260,25458,0,256718,55021,311740,Tracy
203,South San Francisco Unified,249000,20807,0,269807,41778,311586,South San Francisco
204,San Marcos Unified,258775,7948,0,266723,44226,310949,San Marcos
205,Jefferson Union High,214577,26460,0,241037,69725,310763,Union City
206,Santa Rosa City Schools,223986,45301,0,269288,41414,310702,Santa Rosa
207,San Marino Unified,255888,7200,0,263088,47280,310368,San Marino
208,Fountain Valley Elementary,254201,3600,0,257801,52462,310263,Fountain Valley
209,Taft College,227384,20199,0,247584,62637,310221,Taft
210,Wiseburn Unified,243998,0,0,243998,65563,309561,Auburn
211,Kerman Unified,218143,43885,0,262028,47092,309121,Kerman
212,Chico Unified,238553,108,0,238661,69923,308585,Chico
213,Orcutt Union Elementary,214240,0,36536,250776,57477,308253,Union City
214,Gilroy Unified,230468,21699,0,252168,56036,308204,Gilroy
215,Benicia Unified,229235,999,0,230235,77567,307802,Fairfield
216,Placer Union High,255897,0,0,255897,51877,307775,Union City
217,Lowell Joint,225447,0,0,225447,82312,307760,Bell
218,El Centro Elementary,229357,20486,0,249843,57193,307037,El Centro
219,Santa Maria Joint Union High,254625,0,0,254625,52333,306958,Santa Maria
220,Merced City Elementary,247428,1080,0,248508,57229,305737,Merced
221,Sonoma County Office of Education,248984,5600,0,254584,51063,305647,Sonoma
222,Hayward Unified,134238,150228,0,284466,20443,304910,Hayward
223,San Lorenzo Valley Unified,248304,2443,0,250748,52733,303481,Fountain Valley
224,Vista Unified,260000,0,0,260000,43225,303225,Vista
225,Escondido Union,245102,4800,0,249902,53234,303136,Escondido
226,Grossmont Union High,241803,6995,0,248798,53909,302707,Union City
227,Monterey Peninsula Unified,236755,14502,0,251257,51366,302623,Monterey
228,Long Beach Unified,168781,87300,0,256081,46461,302542,Long Beach
229,Santa Monica-Malibu Unified,237868,10800,0,248668,53863,302531,Malibu
230,Whittier City Elementary,234443,5861,0,240304,61841,302145,Whittier
231,Murrieta Valley Unified,248268,1261,0,249529,52323,301852,Murrieta
232,Pittsburg Unified,240000,13222,0,253222,48483,301705,Pittsburg
233,Ocean View-Ventura,216732,36679,0,253411,47933,301344,Ventura
234,Hueneme Elementary,222079,21576,0,243655,57532,301188,Port Hueneme
235,Pajaro Valley Unified,230550,2400,0,232950,68009,300960,Grass Valley
236,San Mateo-Foster City,235522,20190,0,255712,45023,300735,Foster City
237,Porterville Unified,235547,7375,0,242923,57544,300467,Porterville
238,Loomis Union Elementary,223922,21177,0,245100,55320,300421,Union City
239,Brentwood Union Elementary,237053,2853,0,239907,60369,300276,Brentwood
240,Tulare County Office of Education,254131,0,0,254131,46137,300268,Tulare
